1160,"Dracula: Dead and Loving It",1995,3
1176,"Droid Gunner",1995,4
1229,"Electra",1995,4
1247,"Empire Records",1995,3
1261,"Englishman Who Went Up a Hill But Came Down a Mountain, The",1995,2
1270,"Epsilon",1995,3
1356,"Eye of the Wolf",1995,3
1368,"Fair Game",1995,4
1382,"Family of Cops",1995,3
1399,"Fast Money",1995,4
1407,"Father of the Bride Part II",1995,2
1416,"Feast of July",1995,4
1421,"Felony",1995,4
1441,"Final Cut, The",1995,4
1457,"First Degree",1995,4
1459,"First Knight",1995,3
1465,"Fists of Iron",1995,4
1483,"Fluke",1995,2
1489,"Follow the River",1995,2
1503,"Forbidden Games",1995,4
1514,"Forget Paris",1995,3
1521,"Four Rooms",1995,4
1525,"Frank and Ollie",1995,2
1530,"Frankie Starlight",1995,4
1533,"Freakshow",1995,4
1537,"Free Willy 2: The Adventure Home",1995,2
1543,"French Exit",1995,4
1544,"French Kiss",1995,3
1548,"Friday",1995,4
1551,"Friend of the Family",1995,4
1563,"Full Body Massage",1995,4
1570,"Funny Bones",1995,4
1600,"Gazon maudit",1995,4
1605,"Gentlemans Bet",1995,4
1608,"Georgia",1995,4
1614,"Get Shorty",1995,4
1633,"Girl in the Cadillac",1995,4
1651,"Go Now",1995,4
1663,"Gold Diggers: The Secret of Bear Mountain",1995,2
1665,"GoldenEye",1995,3
1678,"Gospa",1995,2
1685,"Granny, The",1995,4
1687,"Grass Harp, The",1995,2
1705,"Grotesque, The",1995,4
1707,"Grumpier Old Men",1995,3
1719,"Gunfighters Moon",1995,3
1725,"Hackers",1995,3
1734,"Halloween: The Curse of Michael Myers",1995,4
1752,"Hard Bounty",1995,4
1754,"Hard Evidence",1995,4
1756,"Hard Justice",1995,4
1764,"Harrison Bergeron",1995,4
1773,"Haunted",1995,4
1789,"Heat",1995,4
1797,"Heavy",1995,4
1822,"Hidden Assassin",1995,4
1859,"Hollow Point",1995,4
1862,"Hollywood Dreams Take 2",1995,4
1867,"Hollywood Zap",1995,4
1873,"Home for the Holidays",1995,3
1882,"Hong faan kui",1995,4
1900,"Hotel Sorrento",1995,4
1923,"How to Make an American Quilt",1995,3
1930,"Human Timebomb",1995,4
1935,"Hunted, The",1995,4
1944,"Hussard sur le toit, Le",1995,4
1973,"Ice Cream Man",1995,4
1993,"Immortals, The",1995,4
2007,"In Pursuit of Honor",1995,3
2009,"In the Bleak Midwinter",1995,4
2022,"Incredibly True Adventure of Two Girls in Love, The",1995,4
2023,"Indecent Behavior III",1995,4
2026,"Indian in the Cupboard, The",1995,2
2028,"Indictment: The McMartin Trial",1995,4
2030,"Inferno",1995,4
2033,"Infiltrator, The",1995,4
2078,"Iron Eagle IV",1995,3
2085,"It Takes Two",1995,2
2091,"Jack and Sarah",1995,2
2097,"Jack-O",1995,4
2102,"Jade",1995,4
2116,"Jefferson in Paris",1995,3
2150,"Josh Kirby... Time Warrior: Chapter 1, Planet of the Dino-Knights",1995,2
2158,"Journey of August King, The",1995,3
2167,"Judge Dredd",1995,4
2172,"Jumanji",1995,2
2176,"Jungleground",1995,4
2179,"Jury Duty",1995,3
2213,"Kickboxer 5",1995,4
2216,"Kicking and Screaming",1995,4
2219,"Kid in King Arthurs Court, A",1995,2
2234,"Killing for Love",1995,4
2263,"Kleptomania",1995,4
2289,"Lady Chatterleys Passions 2: Julies Secret",1995,4
2302,"Langoliers, The",1995,3
2305,"Lap Dancer",1995,4
2313,"Last Best Year, The",1995,2
2326,"Last Good Time, The",1995,4
2335,"Last of the Dogmen",1995,2
2348,"Last Summer in the Hamptons",1995,4
2349,"Last Supper, The",1995,4
2352,"Last Word, The",1995,4
3669,"Sexperiment, The",1998,4
2365,"Leapin Leprechauns",1995,2
2368,"Leaving Las Vegas",1995,4
2388,"Let It Be Me",1995,3
2403,"Lie Down with Dogs",1995,4
2443,"Live Nude Girls",1995,4
2445,"Living in Oblivion",1995,4
2449,"Loch Ness",1995,2
2472,"Lord of Illusions",1995,4
2480,"Losing Isaiah",1995,4
2511,"Love Me Twice",1995,4
2531,"Lovers Leap",1995,4
2931,"Nixon",1995,4
2556,"Mad Dogs and Englishmen",1995,4
2557,"Mad Love",1995,3
2568,"Magic in the Water",1995,2
2574,"Major Payne",1995,3
2582,"Mallrats",1995,4
2586,"Man in the Attic, The",1995,4
2606,"Margarets Museum",1995,4
2695,"Midnight Confessions",1995,4
2699,"Midnight Man",1995,4
2700,"Midnight Tease II",1995,4
2705,"Mighty Aphrodite",1995,4
2707,"Mighty Morphin Power Rangers: The Movie",1995,2
2723,"Mirage",1995,4
2756,"Money Train",1995,4
2765,"Month by the Lake, A",1995,2
2767,"Moondance",1995,4
2768,"Moonlight and Valentino",1995,4
2774,"Mortal Kombat",1995,3
2793,"Mr. Hollands Opus",1995,2
2803,"Mrs. Munck",1995,4
2816,"Murdered Innocence",1995,4
2824,"Mutant Species",1995,4
2837,"My Family",1995,4
2850,"My Teachers Wife",1995,4
2865,"Naked Souls",1995,4
2873,"Nature of the Beast",1995,4
2878,"Nemesis 2: Nebula",1995,4
2881,"Net, The",1995,3
2886,"Never Talk to Strangers",1995,4
2892,"New Jersey Drive",1995,4
2908,"Nick of Time",1995,4
2912,"Night Eyes 4",1995,4
2915,"Night Hunter",1995,4
2922,"Night Watch",1995,4
2927,"Nine Months",1995,3
2936,"No Exit",1995,4
2946,"No Way Back",1995,4
2959,"Not Like Us",1995,4
2960,"Not of This Earth",1995,4
2968,"Now and Then",1995,3
3010,"Once in a Blue Moon",1995,2
3026,"One Tough Bastard",1995,4
3037,"Operation Dumbo Drop",1995,2
3057,"Othello",1995,4
3069,"Out of Annies Past",1995,4
3074,"Out There",1995,3
3076,"Out-of-Sync",1995,4
3078,"Outbreak",1995,4
3105,"Palookaville",1995,4
3112,"Panther",1995,4
3152,"Perez Family, The",1995,4
3176,"Pharaohs Army",1995,3
3182,"Phoenix and the Magic Carpet, The",1995,2
3192,"Picture Bride",1995,3
3201,"Piranha",1995,4
3216,"Playback",1995,4
3233,"Point Dume",1995,4
3236,"Poison Ivy II",1995,4
3255,"Powder",1995,3
3256,"Powderburn",1995,4
3259,"Power of Attorney",1995,4
3260,"Power Within, The",1995,3
3266,"Prehysteria! 3",1995,2
3292,"Private Obsession",1995,4
3300,"Project Shadowchaser III",1995,4
3308,"Prophecy, The",1995,4
3314,"Proteus",1995,4
3328,"Pure Race",1995,4
3348,"Rage",1995,4
3350,"Raging Angels",1995,4
3359,"Ranger, the Cook and a Hole in the Sky, The",1995,2
3378,"Raw Target",1995,4
3386,"Reason to Believe, A",1995,4
3408,"Redwood Curtain",1995,2
3411,"Reggae Movie, The",1995,3
3434,"Restoration",1995,4
3450,"Richard III",1995,4
3485,"Rob Roy",1995,4
3525,"Rude",1995,4
3535,"Run of the Country, The",1995,4
3550,"Sabrina",1995,2
3552,"Safe",1995,4
3569,"Savage",1995,4
3577,"Sawbones",1995,4
3583,"Scarlet Letter, The",1995,4
3594,"Scoring",1995,4
3605,"Se7en",1995,4
3610,"Search and Destroy",1995,4
3635,"Seduction of Innocence",1995,4
3640,"Senior Trip",1995,4
3641,"Sense and Sensibility",1995,2
3645,"Sentinel 2099",1995,3
3647,"Serial Killer",1995,4
3650,"Serpents Lair",1995,4
3654,"Set Up, The",1995,4
3721,"Shootfighter II",1995,4
3728,"Show, The",1995,4
3730,"Showgirls",1995,5
3750,"Silver Strand",1995,4
3763,"Sinful Intrigue",1995,4
3769,"Sirens Kiss",1995,4
3781,"Skateboard Kid 2, The",1995,2
3785,"Skinner",1995,4
3794,"Skyscraper",1995,4
3797,"Slam Dunk Ernest",1995,2
3818,"Smoke",1995,4
3840,"Soldier Boyz",1995,4
3844,"Solitaire for 2",1995,4
3852,"Someone Elses America",1995,4
3856,"Something to Talk About",1995,4
3897,"Species",1995,4
3930,"Star Hunter",1995,4
3955,"Steal Big, Steal Little",1995,3
3960,"Steel Frontier",1995,4
3984,"Strange Days",1995,4
3991,"Stranger, The",1995,4
3996,"Street Fighter II: The Animated Movie",1995,3
3998,"Street Law",1995,4
4009,"Stuart Saves His Family",1995,3
4023,"Sudden Death",1995,4
4027,"Sugartime",1995,4
4056,"Suspect Device",1995,4
4097,"Takeover, The",1995,4
4101,"Tales from the Hood",1995,4
4110,"Tank Girl",1995,4
4113,"Target of Seduction",1995,4
4116,"Tashunga",1995,4
4136,"Terminal Virus",1995,4
4139,"Terrified",1995,4
4153,"Theodore Rex",1995,2
4168,"Things to Do in Denver When Youre Dead",1995,4
4189,"Three Wishes",1995,2
4199,"Tie That Binds, The",1995,4
4200,"Tie-died: Rock n Rolls Most Deadicated Fans",1995,4
4221,"Tin Soldier",1995,2
4230,"To the Limit",1995,4
4232,"To Wong Foo, Thanks for Everything, Julie Newmar",1995,3
4236,"Tom and Huck",1995,2
4240,"Tommy Boy",1995,3
4253,"Trade Off",1995,4
4279,"Trinità & Bambino... e adesso tocca a noi",1995,2
4292,"True Crime",1995,3
4298,"Truman",1995,2
4308,"Tuskegee Airmen, The",1995,3
4311,"Twelve Monkeys",1995,4
4316,"Twisted Love",1995,4
4318,"Two Bits & Pepper",1995,2
4322,"Two Deaths",1995,4
4325,"Two Guys Talkin About Girls",1995,4
4355,"Under Siege 2: Dark Territory",1995,4
4360,"Undercover Heat",1995,4
4378,"Unzipped",1995,4
4379,"Uomo delle stelle, L",1995,4
4397,"Vampire in Brooklyn",1995,4
4415,"Venus Rising",1995,4
4425,"Victory",1995,4
4428,"Viking Sagas, The",1995,4
4430,"Village of the Damned",1995,4
4437,"Virtual Desire",1995,4
4443,"Virtuosity",1995,4
4446,"Visitors of the Night",1995,2
4452,"Voices",1995,4
4457,"Voodoo",1995,4
4475,"Walk in the Clouds, A",1995,3
4499,"Wasp Woman, The",1995,4
4506,"Waterworld",1995,3
4524,"Welcome to the Dollhouse",1995,4
4531,"Wharf Rat, The",1995,4
4546,"When Night Is Falling",1995,4
4558,"While You Were Sleeping",1995,2
4560,"White Mans Burden",1995,4
4565,"White Wolves II: Legend of the Wild",1995,2
4581,"Wigstock: The Movie",1995,4
4584,"Wild Bill",1995,4
4601,"Windrunner",1995,2
4620,"Witchboard III: The Possession",1995,4
4621,"Witchcraft 7: Judgement Hour",1995,4
4637,"Wolves, The",1995,3
4660,"Wrong Woman, The",1995,3
4673,"Yao a yao yao dao waipo qiao",1995,4
4683,"Young Poisoners Handbook, The",1995,4
4700,"Zooman",1995,4
15,"2 Days in the Valley",1996,4
66,"Adrenalin: Fear the Rush",1996,4
88,"Alaska",1996,2
89,"Albino Alligator",1996,4
93,"Alferd Packer: The Musical",1996,4
100,"Alien Avengers",1996,4
135,"Americas Dream",1996,3
152,"American Strays",1996,4
183,"Animal Instincts III",1996,4
189,"Annie O",1996,2
